Artist ID,name,genres,followers,Date
7EVlq3yUVHbHZZsaYSOcXt,Meaningful Stone,"['k-indie', 'korean indie folk']",62028,2024-06-01
07OePkse2fcvU9wlVftNMl,SE SO NEON,"['k-indie', 'korean city pop', 'korean indie rock']",218702,2024-06-01
5KOhn3Gjbd4DUavli5No5f,cotoba,"['k-indie', 'korean indie rock', 'korean shoegaze']",9190,2024-06-01
5q9adPv91NFr8q2ZcKmX0V,youra,['k-indie'],104975,2024-06-01
1cDDtQ75Yz5Xi9sA16wl3N,Lee Yerin,['k-indie'],12073,2024-06-01
5wVJpXzuKV6Xj7Yhsf2uYx,HANRORO,['k-indie'],14517,2024-06-01
3txAiGYUmI4p84stqOoi1s,Dasutt,"['k-indie', 'korean indie rock']",52227,2024-06-01
7eZbNxarrTW4VkRI8u9aDX,Parannoul,"['hyper-rock', 'korean indie rock', 'korean shoegaze']",81513,2024-06-01
6S4fsREHT1NEjTb3lYD2pG,THORNAPPLE,"['k-indie', 'korean indie rock', 'korean shoegaze']",32063,2024-06-01
0fx546FEiZSwGoSbuMnsmN,Della Zyr,"['hyper-rock', 'korean shoegaze']",7782,2024-06-01
2EYqI6r8FBAU5HtNEveQ3h,Wapddi,[],998,2024-06-01
2jnsD97skwkkrQ4EigPcTp,Fin Fior,[],340,2024-06-01
74om4qLxb9MIsubhtvxQQJ,Asian Glow,"['5th wave emo', 'hyper-rock', 'korean indie rock']",36380,2024-06-01
5kNGExA70Z5twMjo7mFYrW,BrokenTeeth,['korean shoegaze'],5099,2024-06-01
2IJQZNh2eIR9a21uq494UA,MEMI,[],67825,2024-06-01
14d5KCX9nprUcxnKIShrr1,MASS OF THE FERMENTING DREGS,"['japanese emo', 'japanese post-rock', 'japanese shoegaze']",123544,2024-06-01
0FXxQ0TEYtebM8gGg0xdoC,Number Girl,"['j-rock', 'japanese alternative rock', 'japanese post-hardcore', 'kyushu indie']",164707,2024-06-01
5IKKS7LhpdlmMwqIagqf3f,tricot,"['japanese math rock', 'japanese post-rock', 'math rock']",184190,2024-06-01
2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,"['j-pop', 'j-rock']",1714637,2024-06-01
